,Unnamed: 0,Unnamed: 0.1,Country,Cumulative number of case(s),Number of deaths,Number recovered,Day_of_the_year,Week_of_the_year,Month_of_the_year
0,0,0,9,1,0,0,17,1,3
1,1,1,4,8,2,0,17,1,3
2,2,2,26,20,0,0,17,1,3
3,3,3,10,95,1,0,17,1,3
4,4,4,31,2,0,0,17,1,3
5,5,5,33,1,0,0,17,1,3
6,6,6,36,40,1,0,17,1,3
7,7,7,9,2,0,0,18,2,3
8,8,8,4,8,2,0,18,2,3
9,9,9,5,0,0,0,18,2,3
10,10,10,26,23,0,0,18,2,3
11,11,11,10,123,1,0,18,2,3
12,12,12,32,3,0,0,18,2,3
13,13,13,33,1,0,0,18,2,3
14,14,14,36,57,1,0,18,2,3
15,15,15,27,1,0,0,18,2,3
16,16,16,34,1,0,0,18,2,3
17,17,17,4,8,2,0,19,3,3
18,18,18,5,0,0,0,19,3,3
19,19,19,9,1,0,0,19,3,3
20,20,20,10,150,5,0,19,3,3
21,21,21,26,31,0,0,19,3,3
22,22,22,27,1,0,0,19,3,3
23,23,23,29,1,0,0,19,3,3
24,24,24,32,3,0,0,19,3,3
25,25,25,33,1,0,0,19,3,3
26,26,26,34,1,0,0,19,3,3
27,27,27,35,11,0,0,19,3,3
28,28,28,36,56,2,0,19,3,3
29,29,29,4,9,2,0,20,4,3
30,30,30,5,0,0,0,20,4,3
31,31,31,9,1,0,0,20,4,3
32,32,32,10,173,6,0,20,4,3
33,33,33,26,34,0,0,20,4,3
34,34,34,27,1,0,0,20,4,3
35,35,35,29,1,0,0,20,4,3
36,36,36,31,7,0,0,20,4,3
37,37,37,32,4,0,0,20,4,3
38,38,38,33,1,0,0,20,4,3
39,39,39,34,2,0,0,20,4,3
40,40,40,35,11,0,0,20,4,3
41,41,41,36,62,2,0,20,4,3
42,42,42,4,9,2,0,21,5,3
43,43,43,5,0,0,0,21,5,3
44,44,44,9,1,0,0,21,5,3
45,45,45,10,203,6,0,21,5,3
46,46,46,13,1,0,0,21,5,3
47,47,47,22,1,0,0,21,5,3
48,48,48,26,39,0,0,21,5,3
49,49,49,27,1,0,0,21,5,3
50,50,50,29,1,0,0,21,5,3
51,51,51,31,7,0,0,21,5,3
52,52,52,32,6,0,0,21,5,3
53,53,53,33,4,0,0,21,5,3
54,54,54,34,2,0,0,21,5,3
55,55,55,35,13,0,0,21,5,3
56,56,56,36,62,2,0,21,5,3
57,57,57,4,9,2,0,22,6,3
58,58,58,5,0,0,0,22,6,3
59,59,59,9,2,0,0,22,6,3
60,60,60,10,222,7,0,22,6,3
61,61,61,13,2,0,0,22,6,3
62,62,62,22,1,0,0,22,6,3
63,63,63,26,44,0,0,22,6,3
64,64,64,27,1,0,0,22,6,3
65,65,65,29,1,0,0,22,6,3
66,66,66,31,7,0,0,22,6,3
67,67,67,32,6,0,0,22,6,3
68,68,68,33,4,0,0,22,6,3
69,69,69,34,2,0,0,22,6,3
70,70,70,35,22,0,0,22,6,3
71,71,71,36,63,2,0,22,6,3
72,72,72,4,11,3,0,24,1,3
73,73,73,5,0,0,0,24,1,3
74,74,74,8,1,0,0,24,1,3
75,75,75,9,4,0,0,24,1,3
76,76,76,10,260,10,0,24,1,3
77,77,77,13,2,0,0,24,1,3
78,78,78,22,1,0,0,24,1,3
79,79,79,26,65,0,0,24,1,3
80,80,80,29,1,0,0,24,1,3
81,81,81,31,2,0,0,24,1,3
82,82,82,32,6,0,0,24,1,3
83,83,83,33,5,0,0,24,1,3
84,84,84,34,3,0,0,24,1,3
